"Run Number","Mutation Number","Percentage","Accuracy","Loss"
4,4,99,0.9904285714,0.0410619546
0,0,100,0.9894285714,0.0354374891
0,1,100,0.9914285714,0.0321417077
0,2,100,0.9918571429,0.0348689346
0,3,100,0.9883571429,0.0439576362
0,4,100,0.9907142857,0.0387701762
1,0,100,0.9903571429,0.0324499785
1,1,100,0.9910714286,0.0312036061
1,2,100,0.9906428571,0.0337917275
1,3,100,0.99,0.0338262431
1,4,100,0.9910714286,0.0340422907
2,0,100,0.9915,0.0329693971
2,1,100,0.9907142857,0.0314250625
2,2,100,0.9919285714,0.0344909214
2,3,100,0.9909285714,0.0341735574
2,4,100,0.9905,0.0425088968
3,0,100,0.991,0.0333212398
3,1,100,0.991,0.0317516027
3,2,100,0.9917142857,0.0334072912
3,3,100,0.9895714286,0.0386049403
3,4,100,0.9903571429,0.0360592248
4,0,100,0.9907857143,0.0327857406
4,1,100,0.9917857143,0.0321650884
4,2,100,0.9909285714,0.0338546441
4,3,100,0.9912142857,0.0329768384
4,4,100,0.9901428571,0.038359395
