"Run Number","Mutation Number","Percentage","Flip Percentage","Accuracy","Loss"
0,1,10,50,0.9902857143,0.0357791017
0,2,10,50,0.9907857143,0.0316903903
0,3,10,50,0.9912142857,0.0328677607
0,4,10,50,0.9901428571,0.0342205355
0,,10,50,0.9905714286,0.0327998216
1,1,10,50,0.9917142857,0.0309638056
1,2,10,50,0.9908571429,0.0313165608
1,3,10,50,0.9905,0.0359559214
1,4,10,50,0.991,0.0330186819
1,,10,50,0.9903571429,0.0356057787
2,1,10,50,0.9925714286,0.0304932509
2,2,10,50,0.9915714286,0.033102976
2,3,10,50,0.9909285714,0.0312368523
2,4,10,50,0.9923571429,0.030872655
2,,10,50,0.991,0.0340817084
3,1,10,50,0.991,0.0331864903
3,2,10,50,0.9904285714,0.0345724567
3,3,10,50,0.9908571429,0.0332264209
3,4,10,50,0.9905714286,0.0350774871
3,,10,50,0.9913571429,0.0325665096
4,1,10,50,0.9902857143,0.0336914047
4,2,10,50,0.991,0.0356166008
4,3,10,50,0.9905714286,0.039202014
4,4,10,50,0.9909285714,0.0389057064
4,,10,50,0.9914285714,0.0358961604
0,1,10,75,0.9888571429,0.0409628864
0,2,10,75,0.9900714286,0.0364971028
0,3,10,75,0.9891428571,0.0373118459
0,4,10,75,0.9906428571,0.0339511083
0,,10,75,0.9905714286,0.0325502289
1,1,10,75,0.9905714286,0.0332912462
1,2,10,75,0.989,0.0433469208
1,3,10,75,0.9912142857,0.0336972048
1,4,10,75,0.9913571429,0.0319052507
1,,10,75,0.9905,0.0345511276
2,1,10,75,0.9908571429,0.0347587817
2,2,10,75,0.9917142857,0.0336070415
2,3,10,75,0.9910714286,0.033890982
2,4,10,75,0.9912142857,0.0331090351
2,,10,75,0.9920714286,0.030236389
3,1,10,75,0.9907857143,0.0342177213
3,2,10,75,0.9899285714,0.0352508133
3,3,10,75,0.9909285714,0.0321105889
3,4,10,75,0.9897142857,0.0346018829
3,,10,75,0.9902142857,0.0355326267
4,1,10,75,0.9905,0.0340287748
4,2,10,75,0.9906428571,0.0350812226
4,3,10,75,0.9907142857,0.0370149473
4,4,10,75,0.9891428571,0.0410768072
4,,10,75,0.991,0.035005017
0,1,10,100,0.9905,0.0345394829
0,2,10,100,0.9905,0.0339239175
0,3,10,100,0.9901428571,0.0349695287
0,4,10,100,0.9910714286,0.037236063
0,,10,100,0.9902142857,0.0365007126
1,1,10,100,0.9907142857,0.0302471513
1,2,10,100,0.9910714286,0.0314872555
1,3,10,100,0.9902857143,0.0333707749
1,4,10,100,0.9895,0.0401527026
1,,10,100,0.9898571429,0.0334897907
2,1,10,100,0.9915714286,0.0329359515
2,2,10,100,0.991,0.0319061116
2,3,10,100,0.9913571429,0.0342026666
2,4,10,100,0.9914285714,0.0333925018
2,,10,100,0.9911428571,0.0331585313
3,1,10,100,0.9903571429,0.0343358233
3,2,10,100,0.9907857143,0.0363186455
3,3,10,100,0.9903571429,0.0375799266
3,4,10,100,0.9896428571,0.036355677
3,,10,100,0.9915,0.0331316237
4,1,10,100,0.9902857143,0.0391459789
4,2,10,100,0.9913571429,0.0395592039
4,3,10,100,0.9906428571,0.0349735393
4,4,10,100,0.9912142857,0.0323336648
4,,10,100,0.9900714286,0.0372591544
0,1,25,25,0.9903571429,0.0323037763
0,2,25,25,0.9912857143,0.0356442233
0,3,25,25,0.9899285714,0.037610126
0,4,25,25,0.9905,0.0322442012
0,,25,25,0.9907857143,0.0337918689
1,1,25,25,0.9895,0.0358313372
1,2,25,25,0.9901428571,0.0347692876
1,3,25,25,0.9917857143,0.0329468141
1,4,25,25,0.9915,0.0310397434
1,,25,25,0.9889285714,0.0380095829
2,1,25,25,0.9913571429,0.0322095485
2,2,25,25,0.9901428571,0.0352847244
2,3,25,25,0.9912857143,0.0331910263
2,4,25,25,0.9912857143,0.0343359343
2,,25,25,0.9915,0.0310357495
3,1,25,25,0.9904285714,0.0338906308
3,2,25,25,0.9914285714,0.033129447
3,3,25,25,0.9917857143,0.0309848682
3,4,25,25,0.9912857143,0.0329104901
3,,25,25,0.9890714286,0.0410913361
4,1,25,25,0.9906428571,0.0343860764
4,2,25,25,0.9884285714,0.0448156475
4,3,25,25,0.9907857143,0.038365865
4,4,25,25,0.9905,0.0384632524
4,,25,25,0.9909285714,0.0371004064
0,1,25,50,0.9901428571,0.0328275952
0,2,25,50,0.9903571429,0.031764459
0,3,25,50,0.9887857143,0.0426161604
0,4,25,50,0.9897857143,0.0372672143
0,,25,50,0.9894285714,0.0369319953
1,1,25,50,0.9911428571,0.0343842417
1,2,25,50,0.9907142857,0.0326281161
1,3,25,50,0.9900714286,0.0328182332
1,4,25,50,0.9914285714,0.030696285
1,,25,50,0.9910714286,0.0295165029
2,1,25,50,0.9916428571,0.036269449
2,2,25,50,0.9908571429,0.0334838643
2,3,25,50,0.9911428571,0.0327638782
2,4,25,50,0.9918571429,0.0304860785
2,,25,50,0.9904285714,0.0377183871
3,1,25,50,0.9906428571,0.0362660274
3,2,25,50,0.99,0.0350518869
3,3,25,50,0.9911428571,0.0330488266
3,4,25,50,0.9911428571,0.0332356681
3,,25,50,0.991,0.0327624287
4,1,25,50,0.9911428571,0.0338371644
4,2,25,50,0.9896428571,0.0365367167
4,3,25,50,0.9907142857,0.0380216906
4,4,25,50,0.9896428571,0.0391623169
4,,25,50,0.9905,0.0397042354
0,1,25,75,0.9902857143,0.0334585357
0,2,25,75,0.9902857143,0.0367108664
0,3,25,75,0.9899285714,0.0336208114
0,4,25,75,0.9907142857,0.0336591932
0,,25,75,0.9906428571,0.0335074683
1,1,25,75,0.9901428571,0.0350854034
1,2,25,75,0.9908571429,0.0331522128
1,3,25,75,0.9894285714,0.0362026663
1,4,25,75,0.9911428571,0.0331358771
1,,25,75,0.9913571429,0.0322521491
2,1,25,75,0.9929285714,0.0305089908
2,2,25,75,0.9915,0.0314944571
2,3,25,75,0.9899285714,0.0369862975
2,4,25,75,0.9922142857,0.0307581701
2,,25,75,0.9917857143,0.0343961714
3,1,25,75,0.9907142857,0.0340813771
3,2,25,75,0.9914285714,0.0357583129
3,3,25,75,0.9906428571,0.033813816
3,4,25,75,0.991,0.0370762181
3,,25,75,0.9899285714,0.0368800998
4,1,25,75,0.9903571429,0.0402029673
4,2,25,75,0.9904285714,0.0372181143
4,3,25,75,0.9897142857,0.037152444
4,4,25,75,0.9907142857,0.0357818834
4,,25,75,0.9902142857,0.036059957
0,1,25,100,0.9914285714,0.0335088694
0,2,25,100,0.9909285714,0.0333817773
0,3,25,100,0.9898571429,0.0315913969
0,4,25,100,0.9911428571,0.0291299697
0,,25,100,0.9905714286,0.0346781312
1,1,25,100,0.9902142857,0.033911879
1,2,25,100,0.9897857143,0.0357759037
1,3,25,100,0.9902142857,0.0329762841
1,4,25,100,0.9912142857,0.0328976448
1,,25,100,0.9901428571,0.0350884093
2,1,25,100,0.9915,0.0313949908
2,2,25,100,0.9913571429,0.0327497207
2,3,25,100,0.9923571429,0.0338046017
2,4,25,100,0.9918571429,0.0332611973
2,,25,100,0.9913571429,0.0341258778
3,1,25,100,0.9907857143,0.035966292
3,2,25,100,0.9910714286,0.0353124091
3,3,25,100,0.9907857143,0.0318510757
3,4,25,100,0.9905714286,0.0340927415
3,,25,100,0.9900714286,0.0379269579
4,1,25,100,0.9907142857,0.0366586322
4,2,25,100,0.99,0.0393311348
4,3,25,100,0.991,0.0356257811
4,4,25,100,0.9904285714,0.0382118769
4,,25,100,0.9900714286,0.0379269579
0,1,50,25,0.9892142857,0.0382075645
0,2,50,25,0.9901428571,0.0346832523
0,3,50,25,0.9905714286,0.0341815719
0,4,50,25,0.9907142857,0.0330870873
0,,50,25,0.9879285714,0.0404629967
1,1,50,25,0.9915,0.0296186469
1,2,50,25,0.9902857143,0.0368852816
1,3,50,25,0.9904285714,0.034082182
1,4,50,25,0.9906428571,0.0341670783
1,,50,25,0.9909285714,0.0348258094
2,1,50,25,0.9906428571,0.0349497115
2,2,50,25,0.9920714286,0.0319325993
2,3,50,25,0.9917142857,0.0309711526
2,4,50,25,0.9919285714,0.029386201
2,,50,25,0.9912857143,0.0307200124
3,1,50,25,0.99,0.0363293909
3,2,50,25,0.9897857143,0.0362499474
3,3,50,25,0.9907142857,0.0368434332
3,4,50,25,0.9904285714,0.0344646062
3,,50,25,0.9916428571,0.0321093011
4,1,50,25,0.9908571429,0.0351819108
4,2,50,25,0.9896428571,0.0403316906
4,3,50,25,0.9905,0.0387835351
4,4,50,25,0.9894285714,0.0403598168
4,,50,25,0.9903571429,0.0391111957
