Mutation Number,Run Num,Percentage,St_Dev,Accuracy,Loss
1,4,1,0.75,0.98157144,0.071691593
2,0,1,0.75,0.97635716,0.091302931
2,1,1,0.75,0.97257143,0.091462991
2,2,1,0.75,0.97914284,0.081306814
2,3,1,0.75,0.97135717,0.099039533
2,4,1,0.75,0.9762857,0.082965616
3,0,1,0.75,0.97,0.102085014
3,1,1,0.75,0.9613571,0.138575729
3,2,1,0.75,0.97492856,0.089029715
3,3,1,0.75,0.9768571,0.07483104
3,4,1,0.75,0.9819286,0.066055346
4,0,1,0.75,0.9679286,0.101469527
4,1,1,0.75,0.9653571,0.110910053
4,2,1,0.75,0.95607144,0.135626447
4,3,1,0.75,0.97592854,0.097159216
4,4,1,0.75,0.7984286,0.699982263
0,0,1,1,0.87607145,0.468322007
0,1,1,1,0.9517143,0.185407805
0,2,1,1,0.8787857,0.358642845
0,3,1,1,0.94542855,0.200151875
0,4,1,1,0.9745714,0.096632855
1,0,1,1,0.95335716,0.147680684
1,1,1,1,0.8455,0.465233382
1,2,1,1,0.70764285,0.905110818
1,3,1,1,0.94685715,0.178665118
1,4,1,1,0.9367143,0.233948567
2,0,1,1,0.8147857,0.589137661
2,1,1,1,0.9215,0.325550418
2,2,1,1,0.89414287,0.417326546
2,3,1,1,0.9687857,0.108349367
2,4,1,1,0.9405714,0.167771324
3,0,1,1,0.96021426,0.146737325
3,1,1,1,0.95614284,0.156780386
3,2,1,1,0.9512143,0.163125396
3,3,1,1,0.9439286,0.178828789
3,4,1,1,0.883,0.450060257
4,0,1,1,0.6512857,1.402221111
4,1,1,1,0.9547857,0.155309261
4,2,1,1,0.80307144,0.639229669
4,3,1,1,0.7532143,0.699866302
4,4,1,1,0.9692857,0.147900143
