"Run Number","Mutation Number","Percentage","Accuracy1","Loss1","Accuracy2","Loss2"
0,1,75,0.8020847811,0.2602018004,0.9885378398,0.0333530468
0,2,75,0.8016678248,0.2498151346,0.9898603968,0.0320872414
0,3,75,0.8027797081,0.2983773411,0.9888317414,0.0340861059
0,4,75,0.8033356497,0.2770438721,0.989713446,0.0322822222
1,0,75,0.8019156024,0.3484614106,0.9882283697,0.0372814836
1,1,75,0.8033037202,0.2761737263,0.9891112419,0.0354844592
1,2,75,0.8017767907,0.3440980972,0.9892583873,0.0368419853
1,3,75,0.8027484731,0.3072033815,0.9895526781,0.0342690672
1,4,75,0.8026096613,0.2607530101,0.9877869335,0.0384715688
2,0,75,0.7990189208,0.2925827819,0.9921340131,0.0297084221
2,1,75,0.7985984582,0.3093407589,0.9922796795,0.0277229244
2,2,75,0.7978976873,0.2830823608,0.9915513474,0.029789526
2,3,75,0.7974772248,0.2713497138,0.991405681,0.0284358086
2,4,75,0.798458304,0.2607893014,0.9919883467,0.0266344246
3,0,75,0.7959638135,0.3697422188,0.98972854,0.0327398003
3,1,75,0.7962421712,0.3239270863,0.9895818048,0.0301738415
3,2,75,0.7962421712,0.2749522162,0.9901687454,0.0317546443
3,3,75,0.7959638135,0.3142548497,0.9895818048,0.0300110735
3,4,75,0.7959638135,0.2965296782,0.9889948643,0.0317422223
4,0,75,0.799522673,0.3395428638,0.9898211429,0.0318618616
4,1,75,0.8012073564,0.2862004642,0.9898211429,0.0349761242
4,2,75,0.8009265758,0.2454073802,0.9901119674,0.0328457407
4,3,75,0.8017689175,0.3062939248,0.9908390286,0.0313273207
4,4,75,0.800505405,0.3260591501,0.9893849062,0.033732232
0,0,80,0.8026407227,0.3758211586,0.9892725937,0.0316162663
0,1,80,0.8022237665,0.2967298748,0.9895664952,0.034119932
0,2,80,0.8025017373,0.3963994261,0.9905951506,0.0325101336
0,3,80,0.8023627519,0.3014845513,0.9903012491,0.0307477977
0,4,80,0.8022237665,0.358148987,0.9894195445,0.0342368961
1,0,80,0.8024708495,0.4134876378,0.9885226604,0.0348469807
1,1,80,0.8019156024,0.3348465976,0.9888169512,0.0359773304
1,2,80,0.8023320378,0.3556729775,0.9882283697,0.0347155835
1,3,80,0.8023320378,0.3468362293,0.9889640966,0.035216326
1,4,80,0.8030260966,0.3300734258,0.9899941142,0.035381345
2,0,80,0.7987386124,0.3213300501,0.9916970138,0.0284745506
2,1,80,0.7988787665,0.2909171293,0.991405681,0.0293188899
2,2,80,0.7995795374,0.3441926714,0.9918426803,0.0293763137
2,3,80,0.7987386124,0.3578641381,0.9921340131,0.029010568
2,4,80,0.799299229,0.2640086855,0.9928623452,0.0254581163
3,0,80,0.7956854558,0.3611551316,0.9891415994,0.0314286565
3,1,80,0.7956854558,0.3924162134,0.9898752751,0.0329401401
3,2,80,0.7954070981,0.399603121,0.990755686,0.0292097985
3,3,80,0.7958246347,0.3390714877,0.9898752751,0.0320910596
3,4,80,0.7924843424,0.3872687048,0.98972854,0.0297761143
4,0,80,0.8012073564,0.3872679952,0.9898211429,0.0327897752
4,1,80,0.8000842341,0.3596280334,0.9885124327,0.032960165
4,2,80,0.8016285273,0.3361208819,0.9901119674,0.0320126675
4,3,80,0.801488137,0.3063845542,0.9899665552,0.032464784
4,4,80,0.8002246244,0.4281709236,0.9896757307,0.0345455716
0,0,85,0.8029186935,0.4812105799,0.989713446,0.0325408259
0,1,85,0.8025017373,0.3612225601,0.9891256429,0.0340536712
0,2,85,0.8029186935,0.4045512305,0.9898603968,0.0339842732
0,3,85,0.8011118832,0.3711421881,0.9891256429,0.0357432477
0,4,85,0.8025017373,0.3898277228,0.9900073475,0.0328730378
1,0,85,0.8027484731,0.4482823677,0.9894055327,0.0357039284
1,1,85,0.8024708495,0.4452575829,0.9882283697,0.0367919056
1,2,85,0.8010827318,0.4651190397,0.9898469688,0.0335332792
1,3,85,0.8027484731,0.388748168,0.9886698058,0.0345428769
1,4,85,0.8024708495,0.401268445,0.9891112419,0.0366832967
2,0,85,0.798458304,0.439622408,0.9919883467,0.0267246017
2,1,85,0.7970567623,0.4699507478,0.9912600146,0.02921641
2,2,85,0.7991590749,0.3631510446,0.992425346,0.026941382
2,3,85,0.7983181499,0.3790817493,0.9919883467,0.0278533184
2,4,85,0.7974772248,0.3417068141,0.9931536781,0.0262402245
3,0,85,0.7941544885,0.3972685086,0.9906089508,0.0313868638
3,1,85,0.7966597077,0.4764162963,0.9901687454,0.0303753547
3,2,85,0.7962421712,0.3537108822,0.9906089508,0.0314930223
3,3,85,0.7958246347,0.4277368334,0.98972854,0.0324233475
3,4,85,0.7942936674,0.461722972,0.9903154806,0.0302325668
4,0,85,0.8006457953,0.5163989127,0.9889486695,0.0348571228
4,1,85,0.8007861856,0.3871159759,0.9908390286,0.0316699157
4,2,85,0.8007861856,0.4297785511,0.9896757307,0.0331699073
4,3,85,0.8019093078,0.3579566869,0.9890940817,0.0325432203
4,4,85,0.8013477467,0.4491521833,0.9899665552,0.0327622008
0,0,90,0.8031966643,0.4352459555,0.989713446,0.0329541363
0,1,90,0.8030576789,0.5198041925,0.9892725937,0.033928048
0,2,90,0.8020847811,0.4476320019,0.9885378398,0.0365605956
0,3,90,0.8011118832,0.473336641,0.987803086,0.0352571883
0,4,90,0.8019457957,0.4480783363,0.9900073475,0.0327151728
1,0,90,0.8031649084,0.5307318598,0.9882283697,0.035221244
1,1,90,0.8024708495,0.5769710503,0.9886698058,0.0343057417
1,2,90,0.8027484731,0.4491991374,0.9886698058,0.0345147593
1,3,90,0.8017767907,0.5713448733,0.9895526781,0.03315436
1,4,90,0.8024708495,0.4067230401,0.9879340789,0.0361253574
2,0,90,0.7988787665,0.6145229167,0.9922796795,0.0269547686
2,1,90,0.7998598457,0.5316223209,0.9916970138,0.0282478406
2,2,90,0.7995795374,0.4985278838,0.9919883467,0.0261848418
2,3,90,0.7997196916,0.4649592117,0.9919883467,0.0282856468
2,4,90,0.7994393832,0.485207284,0.9925710124,0.0278911889
3,0,90,0.7969380654,0.5554288564,0.9901687454,0.0317828985
3,1,90,0.7961029924,0.4098222745,0.990755686,0.029060569
3,2,90,0.7954070981,0.6306846558,0.98972854,0.0310176538
3,3,90,0.7974947808,0.3924527222,0.9898752751,0.0299071796
3,4,90,0.7956854558,0.5765535967,0.9909024211,0.0316595021
4,0,90,0.8010669661,0.533614681,0.9901119674,0.0322166258
4,1,90,0.8017689175,0.5124212292,0.9893849062,0.0321906191
4,2,90,0.8012073564,0.5168854954,0.9901119674,0.0325784689
4,3,90,0.8012073564,0.4406414627,0.9908390286,0.0314967575
4,4,90,0.8013477467,0.5485689148,0.9909844409,0.0314547718
0,0,95,0.801389854,0.8276816327,0.9885378398,0.0340713469
0,1,95,0.8026407227,0.6638052593,0.9889786921,0.0331595564
0,2,95,0.8025017373,0.6745424594,0.9888317414,0.0335067793
0,3,95,0.8020847811,0.7682483286,0.9883908891,0.0336986945
0,4,95,0.8022237665,0.6333044556,0.9903012491,0.0315015038
1,0,95,0.8019156024,0.6138703109,0.9882283697,0.0365872563
1,1,95,0.8017767907,0.6743339042,0.9895526781,0.032225532
1,2,95,0.8020544142,0.6423167443,0.9901412596,0.0323774291
1,3,95,0.8033037202,0.6383095597,0.990288405,0.0321268057
1,4,95,0.8023320378,0.7135770499,0.9877869335,0.0370273199
2,0,95,0.7988787665,0.6314075358,0.9916970138,0.0268022479
2,1,95,0.7981779957,0.5133738669,0.9921340131,0.0308936477
2,2,95,0.799299229,0.5775124138,0.9921340131,0.0283364163
2,3,95,0.7990189207,0.6259086831,0.9921340131,0.0299914669
2,4,95,0.7980378415,0.6542824172,0.991405681,0.0268359874
3,0,95,0.7958246347,0.7340517612,0.9906089508,0.0311766188
3,1,95,0.795546277,0.7898578242,0.9901687454,0.0314212256
3,2,95,0.7958246347,0.6081260437,0.9895818048,0.0312410651
3,3,95,0.7959638135,0.7288156645,0.990755686,0.0291717299
3,4,95,0.7958246347,0.6396586659,0.9903154806,0.0294975105
4,0,95,0.8007861856,0.5602912368,0.9904027919,0.0309879117
