Mutation Number,Run Num,Percentage,St_Dev,Accuracy2,Loss
3,0,0.75,0.25,0.98884815,0.031491514
3,1,0.75,0.25,0.9897285,0.034786238
3,2,0.75,0.25,0.9884079,0.036344374
3,3,0.75,0.25,0.9884079,0.033904351
3,4,0.75,0.25,0.9894351,0.036519536
4,0,0.75,0.25,0.9893849,0.039701216
4,1,0.75,0.25,0.98982114,0.034244877
4,2,0.75,0.25,0.9902574,0.033152584
4,3,0.75,0.25,0.9895303,0.033323783
4,4,0.75,0.25,0.98880327,0.037643954
0,0,0.75,0.5,0.98633355,0.04430255
0,1,0.75,0.5,0.98648053,0.044252844
0,2,0.75,0.5,0.9895665,0.038149835
0,3,0.75,0.5,0.97986776,0.06574325
0,4,0.75,0.5,0.98457015,0.04818985
1,0,0.75,0.5,0.97527957,0.073298011
1,1,0.75,0.5,0.9892584,0.03920604
1,2,0.75,0.5,0.98646265,0.041842875
1,3,0.75,0.5,0.9854326,0.044819873
1,4,0.75,0.5,0.9779282,0.067242072
2,0,0.75,0.5,0.9861617,0.043482502
2,1,0.75,0.5,0.984268,0.046351867
2,2,0.75,0.5,0.98878366,0.036584633
2,3,0.75,0.5,0.9870357,0.043188291
2,4,0.75,0.5,0.9870357,0.037785338
3,0,0.75,0.5,0.9857667,0.046764863
3,1,0.75,0.5,0.98723406,0.04155496
3,2,0.75,0.5,0.98899484,0.037708329
3,3,0.75,0.5,0.9854732,0.046317725
3,4,0.75,0.5,0.98694056,0.039503643
4,0,0.75,0.5,0.988367,0.036747677
4,1,0.75,0.5,0.98894864,0.038075993
4,2,0.75,0.5,0.9890941,0.037464174
4,3,0.75,0.5,0.9824051,0.05630342
4,4,0.75,0.5,0.98153263,0.058010595
0,0,0.75,0.75,0.9819251,0.059436283
0,1,0.75,0.75,0.9811903,0.062668272
0,2,0.75,0.75,0.97766346,0.072906817
0,3,0.75,0.75,0.9835415,0.056931803
0,4,0.75,0.75,0.96767086,0.102989089
1,0,0.75,0.75,0.9657151,0.121026664
1,1,0.75,0.75,0.9814597,0.056646109
1,2,0.75,0.75,0.9811654,0.054683442
1,3,0.75,0.75,0.9857269,0.046865355
1,4,0.75,0.75,0.9861683,0.047755994
2,0,0.75,0.75,0.98601604,0.04273073
2,1,0.75,0.75,0.94552076,0.156897618
2,2,0.75,0.75,0.9861617,0.044413156
2,3,0.75,0.75,0.975965,0.075609148
2,4,0.75,0.75,0.9780044,0.066600585
3,0,0.75,0.75,0.97432137,0.081173414
3,1,0.75,0.75,0.9796038,0.062994116
3,2,0.75,0.75,0.9809244,0.053784637
3,3,0.75,0.75,0.960675,0.104548624
3,4,0.75,0.75,0.98723406,0.042594926
4,0,0.75,0.75,0.9867675,0.045901712
4,1,0.75,0.75,0.97673404,0.07918993
4,2,0.75,0.75,0.985168,0.04770899
4,3,0.75,0.75,0.9872037,0.044134249
4,4,0.75,0.75,0.98415005,0.048401728
0,0,0.75,1,0.97266716,0.082350793
0,1,0.75,1,0.9681117,0.097383393
0,2,0.75,1,0.9012491,0.26181597
0,3,0.75,1,0.9520941,0.138043668
0,4,0.75,1,0.97619396,0.073802461
1,0,0.75,1,0.93246025,0.224849769
1,1,0.75,1,0.9795468,0.067091432
1,2,0.75,1,0.9206886,0.204706543
1,3,0.75,1,0.9651266,0.107990602
1,4,0.75,1,0.95085347,0.14755878
2,0,0.75,1,0.9245448,0.225244332
2,1,0.75,1,0.97902405,0.062057962
2,2,0.75,1,0.9769847,0.072238968
2,3,0.75,1,0.94420975,0.187837862
2,4,0.75,1,0.8739985,0.569306315
3,0,0.75,1,0.98429936,0.05300048
3,1,0.75,1,0.98268527,0.055191237
3,2,0.75,1,0.9065297,0.267232284
3,3,0.75,1,0.9797506,0.074656237
3,4,0.75,1,0.9740279,0.07484369
4,0,0.75,1,0.96510106,0.105314477
4,1,0.75,1,0.979206,0.070041694
4,2,0.75,1,0.97440743,0.080898204
4,3,0.75,1,0.9796423,0.066005597
4,4,0.75,1,0.8855606,0.326316345
0,0,1,0.25,0.98633355,0.04039613
0,1,1,0.25,0.98971343,0.035077278
0,2,1,0.25,0.9894195,0.033212936
0,3,1,0.25,0.9860397,0.044967158
0,4,1,0.25,0.988097,0.03929807
1,0,1,0.25,0.9902884,0.033814983
1,1,1,0.25,0.9892584,0.035416039
1,2,1,0.25,0.98837554,0.036188252
1,3,1,0.25,0.9895527,0.036037589
1,4,1,0.25,0.9869041,0.039829109
2,0,1,0.25,0.99198836,0.027752087
2,1,1,0.25,0.9924253,0.027899801
2,2,1,0.25,0.98878366,0.035177535
2,3,1,0.25,0.99126,0.029984554
2,4,1,0.25,0.992571,0.026242107
3,0,1,0.25,0.9895818,0.034419769
3,1,1,0.25,0.990022,0.032521737
3,2,1,0.25,0.9857667,0.04278555
3,3,1,0.25,0.98532647,0.041368224
3,4,1,0.25,0.98826116,0.035638503
4,0,1,0.25,0.9892395,0.03456048
4,1,1,0.25,0.98894864,0.036863067
4,2,1,0.25,0.990839,0.033187775
4,3,1,0.25,0.9880762,0.0379758
4,4,1,0.25,0.988367,0.036823103
0,0,1,0.5,0.98530495,0.050186456
0,1,1,0.5,0.9782513,0.069465529
0,2,1,0.5,0.97927994,0.058516883
0,3,1,0.5,0.98486406,0.047634572
0,4,1,0.5,0.98515797,0.049797137
1,0,1,0.5,0.9880812,0.037377805
1,1,1,0.5,0.9830783,0.052455789
1,2,1,0.5,0.9867569,0.04419475
1,3,1,0.5,0.983814,0.050052132
1,4,1,0.5,0.96909946,0.090385809
2,0,1,0.5,0.98732704,0.043421175
2,1,1,0.5,0.989949,0.034670424
2,2,1,0.5,0.985579,0.043123416
2,3,1,0.5,0.98689,0.040352193
2,4,1,0.5,0.98528767,0.043957133
3,0,1,0.5,0.98767424,0.036402714
3,1,1,0.5,0.98635364,0.041920555
3,2,1,0.5,0.98473954,0.04270825
3,3,1,0.5,0.9819516,0.061764264
3,4,1,0.5,0.9851797,0.046031252
4,0,1,0.5,0.9866221,0.046588177
4,1,1,0.5,0.98763996,0.04214284
4,2,1,0.5,0.9870583,0.043371279
4,3,1,0.5,0.98138726,0.062421469
4,4,1,0.5,0.9821143,0.055725985
0,0,1,0.75,0.96311533,0.109758518
0,1,1,0.75,0.96487874,0.117286035
0,2,1,0.75,0.97810435,0.060380134
0,3,1,0.75,0.9722263,0.077438511
0,4,1,0.75,0.96561354,0.09915741
1,0,1,0.75,0.9782225,0.074602092
1,1,1,0.75,0.9773396,0.072907628
1,2,1,0.75,0.9590936,0.124776641
1,3,1,0.75,0.97351384,0.078025875
1,4,1,0.75,0.9768982,0.081711075
2,0,1,0.75,0.98412234,0.051850905
2,1,1,0.75,0.98718137,0.045119696
2,2,1,0.75,0.9328478,0.20039585
2,3,1,0.75,0.9883467,0.040965783
2,4,1,0.75,0.98528767,0.043132917
3,0,1,0.75,0.97857666,0.058923752
3,1,1,0.75,0.97696257,0.074670681
3,2,1,0.75,0.95480555,0.141505255
3,3,1,0.75,0.96757156,0.095031511
3,4,1,0.75,0.9870873,0.04368146
4,0,1,0.75,0.85691434,0.507105097
4,1,1,0.75,0.95652175,0.145148506
4,2,1,0.75,0.9765886,0.078135034
4,3,1,0.75,0.97455287,0.088717082
4,4,1,0.75,0.97557074,0.073885861
0,0,1,1,0.9113887,0.291756207
0,1,1,1,0.8511389,0.516843338
0,2,1,1,0.92285085,0.252031678
0,3,1,1,0.9629684,0.09752043
0,4,1,1,0.9626745,0.11610956
1,0,1,1,0.8934668,0.337090365
1,1,1,1,0.9017069,0.269901006
1,2,1,1,0.94658625,0.177278288
1,3,1,1,0.94467336,0.167501003
1,4,1,1,0.96645087,0.105430856
2,0,1,1,0.9423161,0.162763731
2,1,1,1,0.9713037,0.088099115
2,2,1,1,0.9533867,0.150237493
2,3,1,1,0.87851423,0.388490951
2,4,1,1,0.90050983,0.271809058
3,0,1,1,0.81467354,0.706560853
3,1,1,1,0.94292,0.169789471
3,2,1,1,0.9414527,0.163941584
3,3,1,1,0.96184886,0.113848276
3,4,1,1,0.9178283,0.237451528
4,0,1,1,0.97426206,0.076243088
4,1,1,1,0.94590664,0.170039508
4,2,1,1,0.87218267,0.363343075
4,3,1,1,0.90286463,0.268042845
4,4,1,1,0.9147884,0.216405071
