"Run Number","Mutation Number","Percentage","Flip Percentage","Accuracy1","Loss1","Accuracy2","Loss2"
3,4,10,100,0.9942936674,0.0204181441,0.9895818048,0.0329562297
4,0,10,100,0.992138144,0.0272510392,0.9895303185,0.0332101327
4,1,10,100,0.994103608,0.0241545411,0.9909844409,0.0313009321
4,2,10,100,0.9949459497,0.0203476954,0.9911298531,0.0315371393
4,3,10,100,0.9948055595,0.0198613437,0.9901119674,0.0326283585
4,4,10,100,0.9925593149,0.0231151177,0.9901119674,0.0314834027
0,0,25,25,0.9951355108,0.0180049104,0.9898603968,0.0315783655
0,1,25,25,0.9952744962,0.0185360166,0.9889786921,0.0361841125
0,2,25,25,0.9954134816,0.0189592373,0.9891256429,0.035234198
0,3,25,25,0.9956914524,0.0166962329,0.9903012491,0.0330808825
0,4,25,25,0.99485754,0.0181623159,0.9888317414,0.033001648
1,0,25,25,0.9947251527,0.0222804254,0.9901412596,0.034276627
1,1,25,25,0.9931982232,0.0249201704,0.9892583873,0.0354007679
1,2,25,25,0.9937534703,0.0232222486,0.9902884049,0.0328357052
1,3,25,25,0.9938922821,0.0242087563,0.9885226604,0.0393722846
1,4,25,25,0.9944475292,0.0227581146,0.9882283697,0.0403011333
2,0,25,25,0.9946741416,0.0171761864,0.9893663511,0.0311804829
2,1,25,25,0.9928521374,0.0235717515,0.992425346,0.027642708
2,2,25,25,0.9950946041,0.0189080463,0.9918426803,0.0291755088
2,3,25,25,0.9920112123,0.0232550319,0.9916970138,0.0252961882
2,4,25,25,0.9949544499,0.0178041448,0.9909686817,0.0321930017
3,0,25,25,0.995546277,0.0183605117,0.9891415994,0.0326007589
3,1,25,25,0.995546277,0.0163416334,0.9894350697,0.0290492308
3,2,25,25,0.9947112039,0.0182432537,0.9900220103,0.028280739
3,3,25,25,0.9940153097,0.0205591809,0.9891415994,0.0347008934
3,4,25,25,0.9942936674,0.0199929574,0.9888481291,0.0356123992
4,0,25,25,0.994103608,0.0208490127,0.9902573797,0.0331426547
4,1,25,25,0.993120876,0.0220455455,0.9909844409,0.0321864524
