"Run Number","Mutation Number","Percentage","Flip Percentage","Accuracy1","Loss1","Accuracy2","Loss2"
2,0,10,75,0.9941135249,0.0193742991,0.992425346,0.0296934731
2,1,10,75,0.9946741416,0.016184368,0.9921340131,0.0296029739
2,2,10,75,0.9946741416,0.0170200852,0.9925710124,0.0291189597
2,3,10,75,0.9936930624,0.019824426,0.991405681,0.0283367905
2,4,10,75,0.9938332165,0.0187952787,0.9906773489,0.0307150961
3,0,10,75,0.9942936674,0.0188575727,0.9900220103,0.0330226112
3,1,10,75,0.991927627,0.0264031292,0.9888481291,0.0360222685
3,2,10,75,0.9944328462,0.0196402767,0.987674248,0.0348263409
3,3,10,75,0.9944328462,0.0185255549,0.9914893617,0.0301137678
3,4,10,75,0.9947112039,0.0180008271,0.9909024211,0.0306871934
0,0,10,100,0.9961084086,0.0171241157,0.9885378398,0.0366877815
0,1,10,100,0.9954134816,0.0185873861,0.9882439383,0.0389650104
0,2,10,100,0.9954134816,0.0178660477,0.9895664952,0.0351091994
0,3,10,100,0.9954134816,0.0192502819,0.9891256429,0.0357483808
0,4,10,100,0.9930507297,0.024349374,0.9875091844,0.0376864274
1,0,10,100,0.993337035,0.0252087067,0.9901412596,0.0342108492
1,1,10,100,0.9948639645,0.0197718023,0.9896998235,0.0339894413
1,2,10,100,0.9945863409,0.0213695524,0.9877869335,0.0393999247
1,3,10,100,0.9944475292,0.0230633503,0.9880812242,0.0340443651
1,4,10,100,0.9945863409,0.0217008024,0.9886698058,0.0363438503
2,0,10,100,0.9945339874,0.0169218397,0.9911143481,0.0304987612
2,1,10,100,0.9932725999,0.0228449429,0.9918426803,0.0281405151
