"Run Number","Mutation Number","Percentage","Accuracy1","Loss1","Accuracy2","Loss2"
0,4,80,0.9938846421,0.0219056369,0.9894195445,0.0319806416
1,0,80,0.9941699056,0.0233875221,0.9898469688,0.0334233884
1,1,80,0.9944475292,0.0209882786,0.9888169512,0.0368706476
1,2,80,0.9948639645,0.0212467775,0.9896998235,0.034911995
1,3,80,0.9945863409,0.0215295637,0.9899941142,0.0332411177
1,4,80,0.9934758468,0.0237693573,0.9896998235,0.0361023983
2,0,80,0.9948142957,0.0166581987,0.9919883467,0.0296657205
2,1,80,0.9950946041,0.0160490961,0.9912600146,0.0294756736
2,2,80,0.9935529082,0.0199626571,0.992425346,0.0267107678
2,3,80,0.9946741416,0.017033294,0.9921340131,0.0286564334
2,4,80,0.9946741416,0.0179295388,0.9918426803,0.0282025923
3,0,80,0.9959638135,0.0162486775,0.98972854,0.0292009965
3,1,80,0.9956854558,0.0177496072,0.990755686,0.0315107394
3,2,80,0.9949895616,0.0182138031,0.98972854,0.0345257576
3,3,80,0.9940153097,0.0188144395,0.98972854,0.0315613718
3,4,80,0.9951287404,0.0163043765,0.9891415994,0.0321043605
4,0,80,0.9946651692,0.019099555,0.9893849062,0.0309628815
4,1,80,0.9943843886,0.0205529162,0.9911298531,0.0325986623
4,2,80,0.9942439983,0.0191602338,0.9902573797,0.0297351407
4,3,80,0.9945247789,0.0197884605,0.9893849062,0.0327251415
4,4,80,0.9949459497,0.0226197812,0.9898211429,0.0320521729
