Mutation Number,Run Number,Accuracy1,Loss1,Accuracy2,Loss2
119,8,0.994271343,0.019273791,0.98918603,0.035521026
119,9,0.995376856,0.020628621,0.991401924,0.031473232
119,10,0.994861825,0.017372776,0.99029269,0.030249057
119,11,0.996042962,0.012713464,0.989890237,0.031417499
119,12,0.995794786,0.014428819,0.992135159,0.024793557
119,13,0.991499443,0.029388287,0.990621336,0.028786277
119,14,0.995042493,0.015250363,0.991786744,0.02693906
119,15,0.993770764,0.020381483,0.992916175,0.02199405
119,16,0.994170715,0.0241821,0.989992642,0.030662514
119,17,0.994255289,0.013603991,0.990674632,0.028547697
119,18,0.994177987,0.019332574,0.992484527,0.025605125
119,19,0.994706046,0.017842353,0.99135151,0.025590545
