Run Number,Mutation Number,Percentage,Std_Percentage,Loss,Accuracy
2,4,80,75,1.75831234,0.478916667
3,0,80,75,1.753003141,0.461
3,1,80,75,1.950387265,0.44375
3,2,80,75,1.697550282,0.515916667
3,3,80,75,2.091426654,0.406416667
3,4,80,75,1.908568015,0.453666667
4,0,80,75,1.727837586,0.472833333
4,1,80,75,1.816764718,0.466166667
4,2,80,75,2.285576039,0.393583333
4,3,80,75,2.039814393,0.430666667
4,4,80,75,1.680749332,0.51475
0,0,80,100,1.848302075,0.482666667
0,1,80,100,2.777224352,0.365833333
0,2,80,100,2.632529449,0.342416667
0,3,80,100,1.706571834,0.482666667
0,4,80,100,1.753888922,0.49075
1,0,80,100,2.260006265,0.373666667
1,1,80,100,1.971116151,0.4585
1,2,80,100,1.777773814,0.487416667
1,3,80,100,2.124835656,0.462
1,4,80,100,1.830437234,0.465666667
2,0,80,100,1.852688707,0.47825
2,1,80,100,1.829753898,0.475583333
2,2,80,100,2.154067939,0.448416667
2,3,80,100,1.929744323,0.44675
2,4,80,100,2.523684867,0.389416667
3,0,80,100,2.219883135,0.377083333
3,1,80,100,1.967895374,0.450083333
3,2,80,100,1.802398924,0.45225
3,3,80,100,1.934721567,0.43625
3,4,80,100,1.648909917,0.510333333
4,0,80,100,2.09523797,0.41175
4,1,80,100,1.642330951,0.512666667
4,2,80,100,1.452491816,0.549833333
4,3,80,100,1.760941955,0.476833333
4,4,80,100,1.829556393,0.476916667
0,0,85,25,2.285544596,0.33675
0,1,85,25,1.824256673,0.447833333
0,2,85,25,1.940874261,0.398583333
0,3,85,25,1.66409571,0.463583333
0,4,85,25,2.265319577,0.371
1,0,85,25,1.59414953,0.458833333
1,1,85,25,1.621721007,0.49
1,2,85,25,1.970212221,0.434083333
1,3,85,25,1.690333439,0.42875
1,4,85,25,1.68519805,0.481833333
2,0,85,25,1.741388536,0.448083333
2,1,85,25,1.443389173,0.518083333
2,2,85,25,1.676056043,0.473583333
2,3,85,25,1.6790743,0.455
2,4,85,25,1.601331418,0.501916667
3,0,85,25,1.54190051,0.4975
3,1,85,25,1.579999766,0.465916667
3,2,85,25,1.716444393,0.444166667
3,3,85,25,1.966383806,0.401666667
3,4,85,25,1.426275488,0.516416667
4,0,85,25,1.885361379,0.406666667
4,1,85,25,1.744707076,0.457333333
4,2,85,25,2.08254278,0.374416667
4,3,85,25,1.814846912,0.440416667
4,4,85,25,1.45612528,0.509666667
0,0,85,50,2.148791375,0.37
0,1,85,50,1.88593135,0.429833333
0,2,85,50,1.997193584,0.449333333
0,3,85,50,2.033779046,0.40225
0,4,85,50,1.814793482,0.4445
1,0,85,50,2.376518165,0.351333333
1,1,85,50,1.818917747,0.447166667
1,2,85,50,1.924243768,0.4225
1,3,85,50,2.405047492,0.378
1,4,85,50,2.170210903,0.405083333
2,0,85,50,1.862400067,0.436583333
2,1,85,50,2.175165208,0.35875
2,2,85,50,1.780025374,0.449583333
2,3,85,50,2.270481604,0.38575
2,4,85,50,2.19472652,0.3835
3,0,85,50,1.57600012,0.488416667
3,1,85,50,2.163469514,0.35025
3,2,85,50,1.919618231,0.38825
3,3,85,50,1.750415836,0.461583333
3,4,85,50,2.144081279,0.390833333
4,0,85,50,2.353480074,0.412666667
4,1,85,50,1.975898541,0.41925
4,2,85,50,1.893830365,0.43225
4,3,85,50,1.848159787,0.416
4,4,85,50,1.90363641,0.413166667
0,0,85,75,2.591829392,0.304416667
0,1,85,75,2.045607924,0.40875
0,2,85,75,1.937369112,0.420416667
0,3,85,75,1.873536793,0.42625
0,4,85,75,2.038128703,0.40025
1,0,85,75,1.603525206,0.486916667
1,1,85,75,1.899939395,0.415416667
1,2,85,75,2.184461951,0.393833333
1,3,85,75,2.010698322,0.38225
1,4,85,75,2.168654099,0.380166667
2,0,85,75,1.946679853,0.42975
2,1,85,75,1.863155918,0.454333333
2,2,85,75,2.423673074,0.376833333
2,3,85,75,2.263767283,0.363083333
2,4,85,75,2.294558869,0.363
3,0,85,75,1.992058467,0.428416667
3,1,85,75,1.638667388,0.484583333
3,2,85,75,1.840961163,0.44875
3,3,85,75,1.882978114,0.409583333
3,4,85,75,1.941238837,0.411
4,0,85,75,2.024092889,0.403833333
4,1,85,75,1.884605512,0.447083333
4,2,85,75,1.982573192,0.4305
4,3,85,75,2.147436596,0.411916667
4,4,85,75,2.225200754,0.356416667
0,0,85,100,1.909695331,0.43775
0,1,85,100,1.947887558,0.425666667
0,2,85,100,3.733688669,0.301416667
0,3,85,100,1.839109666,0.437083333
0,4,85,100,1.790137475,0.466166667
1,0,85,100,2.487595463,0.312583333
1,1,85,100,2.189688553,0.393583333
1,2,85,100,1.879346359,0.422333333
1,3,85,100,2.027193782,0.426416667
1,4,85,100,1.914397991,0.431416667
2,0,85,100,1.938676081,0.435583333
